2025-07-13 22:16:04,053 | __main__ | INFO | Starting TCAP v3 Automated Trading System
2025-07-13 22:16:04,053 | __main__ | INFO | ============================================================
2025-07-13 22:16:04,053 | __main__ | INFO | Starting Capital: $5,000.00
2025-07-13 22:16:04,054 | __main__ | INFO | Target (12 months): $44,650.00
2025-07-13 22:16:04,054 | __main__ | INFO | Max Position Size: 12%
2025-07-13 22:16:04,054 | __main__ | INFO | Daily Loss Limit: $250
2025-07-13 22:16:04,054 | __main__ | INFO | Max Leverage: 5x
2025-07-13 22:16:04,054 | __main__ | INFO | Paper Trading: YES
2025-07-13 22:16:04,054 | __main__ | INFO | ============================================================
2025-07-13 22:16:04,055 | __main__ | INFO | Initializing trading components...
2025-07-13 22:16:04,055 | order_executor | INFO | Starting TCAP v3 Order Executor...
2025-07-13 22:16:04,055 | order_executor | INFO | Paper trading mode enabled
2025-07-13 22:16:04,055 | __main__ | INFO | Current account balance: $5000.00
2025-07-13 22:16:04,055 | market_scanner | INFO | Starting TCAP v3 Market Scanner...
2025-07-13 22:16:04,055 | market_scanner | INFO | Starting market scan #1
2025-07-13 22:16:04,306 | market_scanner | INFO | Found 449 active USDT futures pairs
2025-07-13 22:16:04,463 | market_scanner | INFO | Retrieved ticker data for 526 symbols
2025-07-13 22:16:04,464 | market_scanner | INFO | Scan #1 completed in 0.41s
2025-07-13 22:16:04,465 | market_scanner | INFO | Scanned 487 pairs, 23 candidates found
2025-07-13 22:16:04,465 | market_scanner | INFO | Top candidates:
2025-07-13 22:16:04,465 | market_scanner | INFO |    1. AINUSDT: +33.5% (Vol: $204.3M)
2025-07-13 22:16:04,465 | market_scanner | INFO |    2. PENGUUSDT: +26.9% (Vol: $833.3M)
2025-07-13 22:16:04,465 | market_scanner | INFO |    3. AUCTIONUSDT: +23.6% (Vol: $483.1M)
2025-07-13 22:16:04,465 | market_scanner | INFO |    4. MAVIAUSDT: +22.5% (Vol: $17.1M)
2025-07-13 22:16:04,465 | market_scanner | INFO |    5. HBARUSDT: +22.5% (Vol: $472.6M)
2025-07-13 22:16:04,466 | market_scanner | INFO | Market scanner initialized successfully
2025-07-13 22:16:04,466 | signal_generator | INFO | TARGET: Starting TCAP v3 Signal Generator...
2025-07-13 22:16:04,466 | signal_generator | INFO | Signal generator initialized successfully
2025-07-13 22:16:04,466 | __main__ | INFO | All components initialized successfully
2025-07-13 22:16:04,466 | __main__ | INFO | Starting continuous monitoring system...
2025-07-13 22:16:04,466 | __main__ | INFO | Starting continuous monitoring...
2025-07-13 22:16:04,466 | __main__ | INFO | TCAP v3 is now running continuously in the background
2025-07-13 22:16:04,466 | __main__ | INFO | Press Ctrl+C to stop the system
2025-07-13 22:16:09,474 | __main__ | INFO | Auto-updating trading system...
2025-07-13 22:16:09,475 | market_scanner | INFO | Starting market scan #2
2025-07-13 22:16:09,609 | market_scanner | INFO | Found 449 active USDT futures pairs
